Name,ES 2019 200 豪華版,ES 2019 200 頂級版,ES 2019 300h 豪華版,ES 2019 250 頂級版,ES 2019 300h 尊榮版,ES 2019 250 旗艦版,ES 2019 300h 旗艦版
最大馬力,167hp@6500rpm,167hp@6500rpm,178hp@5700rpm,207hp@6600rpm,178hp@5700rpm,207hp@6600rpm,178hp@5700rpm
最大扭力,20.3kgm@4600rpm,20.3kgm@4600rpm,22.5kgm@3600~5200rpm,24.8kgm@4000~5000rpm,22.5kgm@3600~5200rpm,24.8kgm@4000~5000rpm,22.5kgm@3600~5200rpm
油電綜效輸出,-,-,218hp,-,218hp,-,218hp
電池種類,-,-,鎳氫,-,鎳氫,-,鎳氫
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂,雙A臂
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,215/55R17,215/55R17,215/55R17,235/45R18,235/45R18,235/45R18,235/45R18
後輪尺碼,215/55R17,215/55R17,215/55R17,235/45R18,235/45R18,235/45R18,235/45R18
引擎擺放位置,前置,前置,前置,前置,前置,前置,前置
電動天窗,●,●,●,●,●,全景,●
電動開闔尾門/行李蓋,-,-,-,●,●,●,●
輪圈規格,17吋,17吋,17吋,18吋,18吋,18吋,18吋
感應式雨刷,●,●,●,●,●,●,●
後視鏡自動防眩目,●,●,●,●,●,●,●
後視鏡加熱/除霧,●,●,●,●,●,●,●
後視鏡電動折疊,●,●,●,●,●,●,●
後視鏡電動調整,●,●,●,●,●,●,●
後視鏡方向指示燈,●,●,-,●,-,●,-
方向盤調整,●,●,●,●,●,●,●
多功能方向盤,●,●,●,●,●,●,●
方向盤換檔,●,●,-,●,-,●,-
動力方向盤,●,●,●,●,●,●,●
旅程電腦,●,●,●,●,●,●,●
中央顯示幕,●,●,-,●,-,●,-
多功能資訊幕,●,●,-,●,●,●,-
抬頭顯示幕,-,-,-,-,-,●,●
環景影像系統,-,-,-,-,●,-,●
Keyless免匙系統,●,●,●,●,●,●,●
中控鎖,●,●,●,●,●,●,●
衛星導航,-,-,-,-,-,●,●
恆溫空調,雙區,雙區,雙區,雙區,雙區,雙區,三區
後座出風口,●,●,●,●,●,●,●
車內粉塵過濾,●,●,●,●,●,●,●
前座正面氣囊,●,●,●,●,●,●,●
前座側面氣囊,●,●,●,●,●,●,●
後座側面氣囊,●,●,●,●,●,●,●
側面氣簾,●,●,●,●,●,●,●
膝部氣囊,●,●,●,●,●,●,●
胎壓偵測,●,●,●,●,●,●,●
兒童安全椅固定裝置,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX,ISO-FIX
ABS防鎖死,●,●,●,●,●,●,●
煞車輔助系統,EBD/BAS,EBD/BAS,EBD,EBD/BAS,EBD,EBD/BAS,EBD/BAS
動態穩定系統,VSC,VSC,ESC,VSC,ESC,VSC,ESC
車道偏離警示,●,●,●,●,●,●,●
循跡系統,TRC,TRC,●,TRC,●,TRC,●
主動安全預防系統,●,●,●,●,●,●,●
斜坡起步輔助,●,●,●,●,●,●,●
定速系統,●,●,●,●,●,●,●
盲點偵測系統,-,●,-,●,●,●,●
駕駛警示系統,-,-,●,-,●,-,●
倒車雷達,●,●,●,●,●,●,●
倒車顯影系統,●,●,●,●,●,●,●
防盜系統,●,●,●,●,●,●,●
主動式智慧定速系統,●,●,●,●,●,●,●
電子手剎車,●,●,●,●,●,●,●
座椅材質,皮革,皮革,皮革,皮革,真皮,真皮,真皮
座椅高低調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動
腰部支撐調整,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動,雙前座電動
前座座椅調整,●,●,●,●,●,●,●
後座座椅調整,-,-,●,-,-,-,●
後座分離式傾倒,●,●,-,●,-,-,-
座椅記憶功能,-,●,-,●,●,●,●
加熱座椅,●,●,●,●,●,●,●
通風座椅,-,●,-,●,●,●,●
後座杯架,●,●,●,●,●,●,●
後座扶手,●,●,●,●,●,●,●
外部音源接入,●,●,●,●,●,●,●
多媒體系統,8吋,8吋,8吋,8吋,8吋,12.3吋,12.3吋
藍牙通訊,●,●,●,●,●,●,●
音響系統,●,●,●,●,●,●,●
音響喇叭數量,10,10,10,10,10,17,17
頭燈光源,LED,LED,LED,LED,LED,LED,LED
感應頭燈,●,●,●,●,●,●,●
頭燈水準自動調整,●,●,-,●,-,●,●
自適應遠近光,●,●,●,●,●,●,●
LED日行燈,●,●,●,●,●,●,●
LED尾燈,●,●,●,●,●,●,●
前霧燈,-,-,●,-,●,-,●
後霧燈,●,●,●,●,●,●,●
引擎啟閉系統,●,●,-,●,-,●,●
