Name,Q7 2018 40 TFSI quattro 5Seats,Q7 2018 40 TFSI quattro 7Seats,Q7 2018 40 TFSI quattro Luxury 7Seats,Q7 2018 45 TDI quattro 7Seats,Q7 2018 45 TFSI quattro 7Seats,Q7 2018 SQ7
座椅記憶功能,-,-,-,●,●,●
第三排座椅,●,●,●,●,●,●
後座杯架,●,●,●,●,●,●
後座扶手,●,●,●,●,●,●
外部音源接入,●,●,●,●,●,●
多媒體系統,8.3吋,8.3吋,8.3吋,8.3吋,8.3吋,●
數位電視,●,●,●,●,●,●
藍牙通訊,●,●,●,●,●,●
音響系統,●,●,●,●,●,●
音響喇叭數量,10,10,10,10,10,19
頭燈光源,LED,LED,LED,LED,LED,LED
感應頭燈,●,●,●,●,●,●
主動轉向頭燈,-,-,-,-,-,●
頭燈水準自動調整,●,●,●,●,●,●
自適應遠近光,●,●,●,●,●,●
LED日行燈,●,●,●,●,●,●
LED尾燈,●,●,●,●,●,●
前霧燈,●,●,●,●,●,●
後霧燈,●,●,●,●,●,●
引擎啟閉系統,●,●,●,●,●,●
